index,_id,codigo_ibge,nome,latitude,longitude,capital,codigo_uf,siafi_id,ddd,fuso_horario,uf,nome_uf
19,6494be310417200165cef77a,2400109,Acari,-6.4282,-36.6347,0,24,1601,84,America/Sao_Paulo,RN,Rio Grande do Norte
69,6494be310417200165cef868,4300307,Alecrim,-27.6579,-54.7649,0,43,8505,55,America/Sao_Paulo,RS,Rio Grande do Sul
119,6494be310417200165ceec90,5200555,Alto Horizonte,-14.1978,-49.3378,0,52,85,62,America/Sao_Paulo,GO,Goiás
169,6494be310417200165ceee71,3102506,Amparo do Serra,-20.5051,-42.8009,0,31,4049,31,America/Sao_Paulo,MG,Minas Gerais
219,6494be310417200165cef4ba,2200806,Antônio Almeida,-7.21276,-44.1889,0,22,1015,89,America/Sao_Paulo,PI,Piauí
269,6494be310417200165ceed8b,2100873,Araguanã,-2.94644,-45.6589,0,21,114,98,America/Sao_Paulo,MA,Maranhão
319,6494be310417200165cef401,2601052,Araçoiaba,-7.78391,-35.0809,0,26,544,81,America/Sao_Paulo,PE,Pernambuco
369,6494be310417200165cefa6b,4201703,Ascurra,-26.9548,-49.3783,0,42,8033,47,America/Sao_Paulo,SC,Santa Catarina
419,6494be310417200165cef881,4301602,Bagé,-31.3297,-54.0999,0,43,8531,53,America/Sao_Paulo,RS,Rio Grande do Sul
469,6494be310417200165cef404,2601300,Barra de Guabiraba,-8.42075,-35.6585,0,26,2325,81,America/Sao_Paulo,PE,Pernambuco
519,6494be310417200165cef208,5101605,Barão de Melgaço,-16.2067,-55.9623,0,51,9031,65,America/Porto_Velho,MT,Mato Grosso
569,6494be310417200165cef78a,2401602,Bento Fernandes,-5.69906,-35.813,0,24,1631,84,America/Sao_Paulo,RN,Rio Grande do Norte
619,6494be310417200165cee99d,1300706,Boca do Acre,-8.74232,-67.3919,0,13,215,97,America/Rio_Branco,AM,Amazonas
669,6494be310417200165cefc17,3507159,Bom Sucesso de Itararé,-24.3155,-49.1451,0,35,3059,15,America/Sao_Paulo,SP,São Paulo
719,6494be310417200165ceeeb3,3108602,Brasília de Minas,-16.2104,-44.4299,0,31,4171,38,America/Sao_Paulo,MG,Minas Gerais
769,6494be310417200165cef4d3,2202000,Buriti dos Lopes,-3.18259,-41.8695,0,22,1039,86,America/Sao_Paulo,PI,Piauí
819,6494be310417200165ceec48,3201209,Cachoeiro de Itapemirim,-20.8462,-41.1198,0,32,5623,28,America/Sao_Paulo,ES,Espírito Santo
869,6494be310417200165cef5c1,4103503,Califórnia,-23.6566,-51.3574,0,41,7467,43,America/Sao_Paulo,PR,Paraná
919,6494be310417200165cef4da,2202117,Campo Alegre do Fidalgo,-8.38236,-41.8344,0,22,290,89,America/Sao_Paulo,PI,Piauí
969,6494be310417200165cef2a7,1502152,Canaã dos Carajás,-6.49659,-49.8776,0,15,48,94,America/Sao_Paulo,PA,Pará
1019,6494be310417200165cef8ba,4304697,Capitão,-29.2674,-51.9853,0,43,6025,51,America/Sao_Paulo,RS,Rio Grande do Sul
1069,6494be310417200165ceea36,2907103,Carinhanha,-14.2985,-43.7724,0,29,3441,77,America/Sao_Paulo,BA,Bahia
1119,6494be310417200165cef423,2604155,Casinhas,-7.74084,-35.7206,0,26,546,81,America/Sao_Paulo,PE,Pernambuco
1169,6494be310417200165cefb8a,2801603,Cedro de São João,-10.2534,-36.8856,0,28,3131,79,America/Sao_Paulo,SE,Sergipe
1219,6494be310417200165cef82e,1100924,Chupinguaia,-12.5611,-60.8877,0,11,6,69,America/Porto_Velho,RO,Rondônia
1269,6494be310417200165cef219,5103205,Colíder,-10.8135,-55.461,0,51,8979,66,America/Porto_Velho,MT,Mato Grosso
1319,6494be310417200165ceef20,3118304,Conselheiro Lafaiete,-20.6634,-43.7846,0,31,4365,31,America/Sao_Paulo,MG,Minas Gerais
1369,6494be310417200165cef429,2604700,Correntes,-9.12117,-36.3244,0,26,2393,87,America/Sao_Paulo,PE,Pernambuco
1419,6494be310417200165ceecd0,5206503,Cromínia,-17.2883,-49.3798,0,52,9331,64,America/Sao_Paulo,GO,Goiás
1469,6494be310417200165cef2b2,1502855,Curuá,-1.88775,-55.1168,0,15,50,93,America/Sao_Paulo,PA,Pará
1519,6494be310417200165cef5f0,4107108,Diamante do Norte,-22.655,-52.8617,0,41,7539,44,America/Sao_Paulo,PR,Paraná
1569,6494be310417200165ceef55,3122801,Dom Viçoso,-22.2511,-45.1643,0,31,4455,35,America/Sao_Paulo,MG,Minas Gerais
1619,6494be310417200165ceef5e,3123601,Elói Mendes,-21.6088,-45.5691,0,31,4471,35,America/Sao_Paulo,MG,Minas Gerais
1669,6494be310417200165cef8fd,4307500,Espumoso,-28.7286,-52.8461,0,43,8647,54,America/Sao_Paulo,RS,Rio Grande do Sul
1719,6494be310417200165cee947,2702603,Feira Grande,-9.89859,-36.6815,0,27,2751,82,America/Sao_Paulo,AL,Alagoas
1769,6494be310417200165cef604,4108007,Florestópolis,-22.8623,-51.3882,0,41,7557,43,America/Sao_Paulo,PR,Paraná
1819,6494be310417200165ceef80,3126802,Frei Gaspar,-18.0709,-41.4325,0,31,4535,33,America/Sao_Paulo,MG,Minas Gerais
1869,6494be310417200165ceea68,2911303,Gentio do Ouro,-11.4342,-42.5077,0,29,3525,74,America/Sao_Paulo,BA,Bahia
1919,6494be310417200165ceedd0,2104800,Grajaú,-5.81367,-46.1462,0,21,793,99,America/Sao_Paulo,MA,Maranhão
1969,6494be310417200165cefc95,3518008,Guarani d'Oeste,-20.0746,-50.3411,0,35,6461,17,America/Sao_Paulo,SP,São Paulo
2019,6494be310417200165ceefa0,3129202,Heliodora,-22.0644,-45.5453,0,31,4583,35,America/Sao_Paulo,MG,Minas Gerais
2069,6494be310417200165ceefa5,3129657,Ibiracatu,-15.6605,-44.1667,0,31,624,38,America/Sao_Paulo,MG,Minas Gerais
2119,6494be310417200165cefcb0,3520301,Iguape,-24.699,-47.5537,0,35,6507,13,America/Sao_Paulo,SP,São Paulo
2169,6494be310417200165ceea83,2913705,Inhambupe,-11.781,-38.355,0,29,3575,75,America/Sao_Paulo,BA,Bahia
2219,6494be310417200165cef933,4310439,Ipê,-28.8171,-51.2859,0,43,8399,54,America/Sao_Paulo,RS,Rio Grande do Sul
2269,6494be310417200165ceea94,2915304,Itagimirim,-16.0819,-39.6133,0,29,3607,73,America/Sao_Paulo,BA,Bahia
2319,6494be310417200165ceea9d,2916104,Itaparica,-12.8932,-38.68,0,29,3623,71,America/Sao_Paulo,BA,Bahia
2369,6494be310417200165ceed00,5211305,Itarumã,-18.7646,-51.3485,0,52,9421,64,America/Sao_Paulo,GO,Goiás
2419,6494be310417200165cef632,4111407,Ivaí,-25.0067,-50.857,0,41,7621,42,America/Sao_Paulo,PR,Paraná
2469,6494be310417200165cefce2,3524808,Jales,-20.2672,-50.5494,0,35,6597,17,America/Sao_Paulo,SP,São Paulo
2519,6494be310417200165cef450,2608057,Jatobá,-9.17476,-38.2607,0,26,550,87,America/Sao_Paulo,PE,Pernambuco
2569,6494be310417200165cef51a,2205508,José de Freitas,-4.75146,-42.5746,0,22,1109,86,America/Sao_Paulo,PI,Piauí
2619,6494be310417200165ceeaba,2918506,Jussara,-11.0431,-41.9702,0,29,3671,74,America/Sao_Paulo,BA,Bahia
2669,6494be310417200165cef457,2608453,Lagoa do Carro,-7.84383,-35.3108,0,26,2289,81,America/Sao_Paulo,PE,Pernambuco
2719,6494be310417200165cef94d,4311502,Lavras do Sul,-30.8071,-53.8931,0,43,8731,55,America/Sao_Paulo,RS,Rio Grande do Sul
2769,6494be310417200165cefcfe,3527405,Lucélia,-21.7182,-51.0215,0,35,6649,18,America/Sao_Paulo,SP,São Paulo
2819,6494be310417200165ceede9,2106300,Magalhães de Almeida,-3.39232,-42.2117,0,21,825,98,America/Sao_Paulo,MA,Maranhão
2869,6494be310417200165cef01e,3139805,Mar de Espanha,-21.8707,-43.0062,0,31,4795,32,America/Sao_Paulo,MG,Minas Gerais
2919,6494be310417200165cef022,3140100,Marilac,-18.5079,-42.0822,0,31,4801,33,America/Sao_Paulo,MG,Minas Gerais
2969,6494be310417200165cef02f,3140902,Matipó,-20.2873,-42.3401,0,31,4817,31,America/Sao_Paulo,MG,Minas Gerais
3019,6494be310417200165cefd17,3529708,Miguelópolis,-20.1796,-48.031,0,35,6695,16,America/Sao_Paulo,SP,São Paulo
3069,6494be310417200165cef38e,2509404,Mogeiro,-7.28517,-35.4832,0,25,2089,83,America/Sao_Paulo,PB,Paraíba
3119,6494be310417200165cef391,2509701,Monteiro,-7.88363,-37.1184,0,25,2095,83,America/Sao_Paulo,PB,Paraíba
3169,6494be310417200165cef96e,4312625,Muliterno,-28.3253,-51.7697,0,43,5935,54,America/Sao_Paulo,RS,Rio Grande do Sul
3219,6494be310417200165cef537,2206720,Nazária,-5.35128,-42.8153,0,22,1180,86,America/Sao_Paulo,PI,Piauí
3269,6494be310417200165cefd3a,3532843,Nova Canaã Paulista,-20.3836,-50.9483,0,35,2985,17,America/Sao_Paulo,SP,São Paulo
3319,6494be310417200165cef24a,5106232,Nova Olímpia,-14.7889,-57.2886,0,51,9893,65,America/Porto_Velho,MT,Mato Grosso
3369,6494be310417200165cef840,1100502,Novo Horizonte do Oeste,-11.6961,-61.9951,0,11,689,69,America/Porto_Velho,RO,Rondônia
3419,6494be310417200165cef06d,3145851,Oratórios,-20.4298,-42.7977,0,31,672,31,America/Sao_Paulo,MG,Minas Gerais
3469,6494be310417200165cef074,3146305,Padre Paraíso,-17.0758,-41.4821,0,31,4925,33,America/Sao_Paulo,MG,Minas Gerais
3519,6494be310417200165ceec6e,3204005,Pancas,-19.2229,-40.8534,0,32,5679,27,America/Sao_Paulo,ES,Espírito Santo
3569,6494be310417200165ceed39,5216403,Paraúna,-16.9463,-50.4484,0,52,9523,64,America/Sao_Paulo,GO,Goiás
3619,6494be310417200165cef2e1,1505551,Pau d'Arco,-1.59772,-46.9268,0,15,387,94,America/Sao_Paulo,PA,Pará
3669,6494be310417200165ceee06,2108207,Pedreiras,-4.56482,-44.6006,0,21,861,99,America/Sao_Paulo,MA,Maranhão
3719,6494be310417200165cef474,2611101,Petrolina,-9.38866,-40.5027,0,26,2521,87,America/Sao_Paulo,PE,Pernambuco
3769,6494be310417200165ceee0c,2108603,Pinheiro,-2.52224,-45.0788,0,21,869,98,America/Sao_Paulo,MA,Maranhão
3819,6494be310417200165ceeb0f,2924801,Piritiba,-11.73,-40.5587,0,29,3797,74,America/Sao_Paulo,BA,Bahia
3869,6494be310417200165cef9a7,4314787,Ponte Preta,-27.6587,-52.4848,0,43,5967,54,America/Sao_Paulo,RS,Rio Grande do Sul
3919,6494be310417200165cef6a9,4120309,Porto Vitória,-26.1674,-51.231,0,41,7785,42,America/Sao_Paulo,PR,Paraná
3969,6494be310417200165cefd95,3541059,Pratânia,-22.8112,-48.6636,0,35,814,14,America/Sao_Paulo,SP,São Paulo
4019,6494be310417200165cefd9c,3541653,Quadra,-23.2993,-48.0547,0,35,816,15,America/Sao_Paulo,SP,São Paulo
4069,6494be310417200165cef0c9,3153905,Raposos,-19.9636,-43.8079,0,31,5077,31,America/Sao_Paulo,MG,Minas Gerais
4119,6494be310417200165cef3b6,2512762,Riachão do Poço,-7.14173,-35.2914,0,25,506,83,America/Sao_Paulo,PB,Paraíba
4169,6494be310417200165cefdb6,3544103,Rio Grande da Serra,-23.7437,-46.3971,0,35,6983,11,America/Sao_Paulo,SP,São Paulo
4219,6494be310417200165cefb34,4215109,Rodeio,-26.9243,-49.3649,0,42,8297,47,America/Sao_Paulo,SC,Santa Catarina
4269,6494be310417200165cefdc0,3544905,Sales Oliveira,-20.7696,-47.8369,0,35,6999,16,America/Sao_Paulo,SP,São Paulo
4319,6494be310417200165cef2f1,1506351,Santa Bárbara do Pará,-1.19219,-48.238,0,15,369,91,America/Sao_Paulo,PA,Pará
4369,6494be310417200165cef3bf,2513356,Santa Inês,-7.621,-38.554,0,25,512,83,America/Sao_Paulo,PB,Paraíba
4419,6494be310417200165cef0fe,3159407,Santa Rita de Ibitipoca,-21.5658,-43.9163,0,31,5187,32,America/Sao_Paulo,MG,Minas Gerais
4469,6494be310417200165ceec1f,2312106,Santana do Cariri,-7.17613,-39.7302,0,23,1543,88,America/Sao_Paulo,CE,Ceará
4519,6494be310417200165cefde3,3548104,Santo Antônio do Jardim,-22.1121,-46.6845,0,35,7063,19,America/Sao_Paulo,SP,São Paulo
4569,6494be310417200165cefb59,4217501,Seara,-27.1564,-52.299,0,42,8345,49,America/Sao_Paulo,SC,Santa Catarina
4619,6494be310417200165cef278,5107883,Serra Nova Dourada,-12.0896,-51.4025,0,51,1100,66,America/Porto_Velho,MT,Mato Grosso
4669,6494be310417200165cef16e,3167400,Silvianópolis,-22.0274,-45.8385,0,31,5347,35,America/Sao_Paulo,MG,Minas Gerais
4719,6494be310417200165ceec20,2312304,São Benedito,-4.04713,-40.8596,0,23,1547,88,America/Sao_Paulo,CE,Ceará
4769,6494be310417200165cefbbf,2806909,São Francisco,-10.3442,-36.8869,0,28,3237,79,America/Sao_Paulo,SE,Sergipe
4819,6494be310417200165cefdf1,3549409,São Joaquim da Barra,-20.5812,-47.8593,0,35,7089,16,America/Sao_Paulo,SP,São Paulo
4869,6494be310417200165cef574,2210201,São José do Piauí,-6.87194,-41.4731,0,22,1203,89,America/Sao_Paulo,PI,Piauí
4919,6494be310417200165cef6e7,4125001,São João do Ivaí,-23.9833,-51.8215,0,41,7875,43,America/Sao_Paulo,PR,Paraná
4969,6494be310417200165cef578,2210383,São Miguel da Baixa Grande,-5.85646,-42.1934,0,22,392,86,America/Sao_Paulo,PI,Piauí
5019,6494be310417200165cefdfe,3550605,São Roque,-23.5226,-47.1357,0,35,7113,11,America/Sao_Paulo,SP,São Paulo
5069,6494be310417200165ceeb59,2930766,Sítio do Quinto,-10.3545,-38.2213,0,29,3043,75,America/Sao_Paulo,BA,Bahia
5119,6494be310417200165cefa1c,4321105,Tapes,-30.6683,-51.3991,0,43,8925,51,America/Sao_Paulo,RS,Rio Grande do Sul
5169,6494be310417200165cee98d,2709152,Teotônio Vilela,-9.91656,-36.3492,0,27,971,82,America/Sao_Paulo,AL,Alagoas
5219,6494be310417200165cef70c,4127809,Tomazina,-23.7796,-49.9499,0,41,7929,43,America/Sao_Paulo,PR,Paraná
5269,6494be310417200165cefa2d,4321808,Três de Maio,-27.78,-54.2357,0,43,8939,55,America/Sao_Paulo,RS,Rio Grande do Sul
5319,6494be310417200165cef18e,3170206,Uberlândia,-18.9141,-48.2749,0,31,5403,34,America/Sao_Paulo,MG,Minas Gerais
5369,6494be310417200165cefe3c,3556008,Urupês,-21.2032,-49.2931,0,35,7221,17,America/Sao_Paulo,SP,São Paulo
5419,6494be310417200165cef81e,2414803,Vera Cruz,-6.04399,-35.428,0,24,1895,84,America/Sao_Paulo,RN,Rio Grande do Norte
5469,6494be310417200165cef1a6,3171808,Virginópolis,-18.8154,-42.7015,0,31,5437,33,America/Sao_Paulo,MG,Minas Gerais
5519,6494be310417200165cefed6,1722107,Xambioá,-6.4141,-48.532,0,17,9643,63,America/Sao_Paulo,TO,Tocantins
5569,6494be310417200165cefd46,3533809,Óleo,-22.9435,-49.3419,0,35,6777,14,America/Sao_Paulo,SP,São Paulo
